392,95,
392,95,
392,143,
391,179,
391,204,
391,235,
388,269,
388,269,
384,274,
383,275,
383,277,
383,278,
383,280,
380,283,
374,285,
359,289,
355,290,
354,290,
352,289,
350,289,
345,288,
341,287,
336,288,
326,289,
319,292,
318,293,
317,294,
314,296,
311,298,
309,299,
309,300,
308,301,
304,306,
304,307,
304,309,
303,309,
302,309,
297,303,
295,301,
292,301,
290,301,
286,300,
281,298,
280,297,
279,296,
280,295,
279,293,
280,293,
280,292,
282,291,
286,285,
288,283,
290,283,
301,275,
304,274,
305,274,
306,273,
306,272,
306,271,
304,266,
302,265,
302,266,
300,267,
298,267,
297,267,
296,266,
295,264,
291,259,
290,256,
286,252,
285,250,
282,245,
281,241,
282,236,
282,234,
281,231,
280,230,
282,225,
282,223,
285,219,
285,218,
285,217,
283,215,
282,214,
281,211,
277,208,
275,208,
274,208,
273,209,
270,210,
266,211,
264,211,
263,211,
261,210,
260,208,
255,200,
258,193,
258,191,
258,190,
257,188,
256,184,
260,172,
255,162,
253,160,
241,150,
237,148,
225,145,
222,144,
219,141,
213,136,
213,135,
211,133,
211,131,
210,125,
207,121,
204,116,
203,114,
201,114,
198,112,
196,112,
184,109,
181,108,
180,107,
178,105,
171,101,
170,100,
169,99,
167,99,
166,99,
163,99,
158,101,
152,101,
146,101,
141,90,
139,87,
137,86,
136,86,
131,85,
130,85,
124,82,
122,80,
112,68,
111,67,
111,66,
112,65,
120,64,
122,63,
122,62,
123,61,
140,50,
150,38,
151,37,
153,37,
154,36,
156,36,
156,35,
188,47,
223,60,
228,61,
233,59,
272,33,
279,32,
283,33,
291,39,
295,40,
300,40,
305,41,
315,46,
317,46,
318,47,
319,47,
320,48,
325,54,
327,56,
329,57,
331,58,
333,58,
335,57,
347,50,
349,49,
351,50,
352,51,
352,54,
352,56,
353,58,
356,62,
357,63,
359,65,
369,69,
371,71,
373,73,
378,75,
381,78,
382,84,
379,85,
378,86,
377,88,
378,89,
378,90,
379,91,
384,95,
385,96,
387,94,
391,94,
